,0
"('bundesrat', 'beantragt')",371
"('antrag', 'mehrheit')",226
"('beantragt', 'ablehn')",173
"('ablehn', 'motion')",139
"('beantragt', 'annahm')",138
"('teilt', 'antrag')",129
"('annahm', 'motion')",106
"('antwort', 'bundesrat')",96
"('diskussion', 'einverstand')",95
"('kommission', 'beantragt')",90
"('bundesrat', 'befriedigt')",88
"('schriftlich', 'antwort')",87
"('unterstutzt', 'antrag')",86
"('schriftlich', 'bericht')",85
"('bericht', 'kommission')",83
"('annahm', 'postulat')",79
"('mehrheit', 'unterstutzt')",73
"('beantragt', 'diskussion')",70
"('beantragt', 'einstimm')",62
"('interpellant', 'schriftlich')",61
"('befriedigt', 'diskussion')",61
"('mehrheit', 'unterstutz')",60
"('beantragt', 'ebenfall')",57
"('diskussion', 'beantragt')",56
"('ablehn', 'postulat')",49
"('frag', 'interpellant')",48
"('einstimm', 'motion')",47
"('motion', 'anzunehm')",45
"('liegt', 'schriftlich')",44
"('fdpfraktion', 'teilt')",43
"('cvpfraktion', 'teilt')",42
"('ebenfall', 'annahm')",40
"('interpellant', 'beantragt')",40
"('kommission', 'erhalt')",39
"('erhalt', 'kommission')",39
"('anzunehm', 'bundesrat')",36
"('antrag', 'mind')",30
"('cvpfraktion', 'unterstutzt')",28
"('beantragt', 'kurz')",27
"('kurz', 'diskussion')",27
"('interpellantin', 'schriftlich')",26
"('fdpliberal', 'fraktion')",25
"('fraktion', 'unterstutzt')",25
"('svpfraktion', 'teilt')",25
"('frag', 'interpellantin')",24
"('motion', 'abzulehn')",22
"('lasst', 'mitteil')",22
"('kommission', 'kommission')",20
"('grun', 'fraktion')",19
"('teil', 'antrag')",19
"('mehrheit', 'zustimmt')",19
"('beantragt', 'gegenstimm')",17
"('abzulehn', 'bundesrat')",16
"('ebenfall', 'ablehn')",16
"('befriedigt', 'beantragt')",16
"('mind', 'unterstutzt')",16
"('gegenstimm', 'motion')",15
"('mitteil', 'mehrheit')",15
"('svpfraktion', 'unterstutzt')",12
"('cvpfraktion', 'lasst')",12
"('spfraktion', 'teilt')",11
"('fraktion', 'teilt')",11
"('vorstoss', 'rahm')",11
"('rahm', 'vorlag')",11
"('vorlag', 'begrundet')",11
"('begrundet', 'word')",11
"('interpellantin', 'beantragt')",10
"('teilweis', 'befriedigt')",10
"('fdpfraktion', 'unterstutzt')",9
"('bundesrat', 'bereit')",9
"('folg', 'geb')",9
"('cvpevpglpfraktion', 'unterstutzt')",9
"('svpfraktion', 'teil')",9
"('vereinigt', 'bundesversamml')",8
"('bundesrat', 'teilweis')",8
"('initiativ', 'folg')",8
"('einstimm', 'annahm')",8
"('postulat', 'entgegenzunehm')",8
"('beantragt', 'motion')",7
"('stimmt', 'antrag')",7
"('unterstutzt', 'mehrheit')",7
"('einstimm', 'initiativ')",7
"('lasst', 'ausricht')",7
"('ausricht', 'antrag')",7
"('bereit', 'postulat')",7
"('diskussion', 'gewahrt')",6
"('interpellant', 'antwort')",6
"('fdpfraktion', 'lasst')",6
"('diskussion', 'wunscht')",5
"('herr', 'reimann')",5
"('reimann', 'beantragt')",5
"('beantragt', 'bericht')",5
"('fdpfraktion', 'cvpfraktion')",5
"('cvpfraktion', 'teil')",5
"('bdpfraktion', 'unterstutzt')",5
"('motion', 'bundesrat')",5
"('cvpfraktion', 'svpfraktion')",5
"('fdpfraktion', 'svpfraktion')",5
"('cvpfraktion', 'fdpfraktion')",5
"('unterstutz', 'antrag')",5
"('fdpfraktion', 'teil')",5
"('entgegenzunehm', 'antrag')",5
"('antrag', 'wurd')",5
"('wurd', 'gestellt')",5
"('herr', 'buttik')",4
"('buttik', 'beantragt')",4
"('sitzung', 'vereinigt')",4
"('mitglied', 'beid')",4
"('beid', 'rat')",4
"('rat', 'reglementsgemass')",4
"('reglementsgemass', 'heutig')",4
"('heutig', 'sitzung')",4
"('sitzung', 'eingelad')",4
"('eingelad', 'word')",4
"('absolut', 'mehrheit')",4
"('mehrheit', 'mitglied')",4
"('mitglied', 'standerat')",4
"('standerat', 'nationalrat')",4
"('nationalrat', 'anwes')",4
"('anwes', 'vereinigt')",4
"('bundesversamml', 'somit')",4
"('somit', 'verhandl')",4
"('verhandl', 'beschlussfah')",4
"('mind', 'ablehnt')",4
"('cvpfraktion', 'stimmt')",4
"('berichterstatt', 'verzicht')",4
"('verzicht', 'wort')",4
"('kommission', 'unterstutzt')",4
"('kenntnis', 'nehm')",4
"('spfraktion', 'unterstutzt')",4
"('svpfraktion', 'fdpfraktion')",4
"('teilt', 'mehrheit')",4
"('herr', 'standeratsprasident')",3
"('standeratsprasident', 'lieb')",3
"('lieb', 'kolleginn')",3
"('kolleginn', 'kolleg')",3
"('kolleg', 'national')",3
"('national', 'standerat')",3
"('standerat', 'eroffn')",3
"('eroffn', 'sitzung')",3
"('bundesversamml', 'begruss')",3
"('begruss', 'herzlich')",3
"('herzlich', 'mitglied')",3
"('word', 'stell')",3
"('stell', 'fest')",3
"('fest', 'absolut')",3
"('interpellation', 'erledigt')",3
"('mind', 'unterstutz')",3
"('mitteil', 'antrag')",3
"('herr', 'marty')",3
"('marty', 'beantragt')",3
"('nehm', 'erklar')",3
"('erklar', 'kenntnis')",3
"('motion', 'postulat')",3
"('antrag', 'kommission')",3
"('fraktion', 'lasst')",3
"('svpfraktion', 'lasst')",3
"('delegation', 'beantragt')",3
"('bericht', 'kenntnis')",3
"('evpedufraktion', 'teilt')",3
"('fraktion', 'cvpevpglpfraktion')",3
"('cvpevpglpfraktion', 'unterstutz')",3
"('herr', 'recordon')",3
"('recordon', 'beantragt')",3
"('cvpevpglpfraktion', 'lasst')",3
"('herr', 'schwall')",3
"('schwall', 'beantragt')",3
"('bericht', 'frist')",2
"('frist', 'ausarbeit')",2
"('ausarbeit', 'vorlag')",2
"('vorlag', 'fruhjahrssession')",2
"('fruhjahrssession', 'verlang')",2
"('bdpfraktion', 'lasst')",2
"('stimm', 'nichteintretensantrag')",2
"('mind', 'zustimmt')",2
"('liberal', 'fraktion')",2
"('mitteil', 'kommission')",2
"('gegenstimm', 'initiativ')",2
"('frau', 'langenberg')",2
"('mitteil', 'mind')",2
"('evpedufraktion', 'unterstutzt')",2
"('beid', 'motion')",2
"('motion', 'gemass')",2
"('gemass', 'anderungsantrag')",2
"('anderungsantrag', 'ziff')",2
"('ziff', 'bericht')",2
"('bericht', 'erhalt')",2
"('erhalt', 'delegation')",2
"('teilt', 'mind')",2
"('frau', 'forst')",2
"('forst', 'beantragt')",2
"('postulat', 'umzuwandeln')",2
"('stimm', 'antrag')",2
"('fraktion', 'antrag')",1
"('fraktion', 'stimmt')",1
"('unterstutzt', 'motion')",1
"('herr', 'hêche')",1
"('hêche', 'beantragt')",1
"('interpellation', 'erklar')",1
"('erklar', 'bundesrat')",1
"('bundesrat', 'erledigt')",1
"('frau', 'sommaruga')",1
"('sommaruga', 'beantragt')",1
"('bereit', 'empfehl')",1
"('empfehl', 'entgegenzunehm')",1
"('svp', 'fdpfraktion')",1
"('fdpfraktion', 'unterstutz')",1
"('unterstutz', 'mind')",1
"('initiativ', 'abzuschreib')",1
"('kommission', 'wirtschaft')",1
"('wirtschaft', 'abgab')",1
"('abgab', 'kommission')",1
"('motion', 'fassung')",1
"('fassung', 'standerat')",1
"('standerat', 'zuzustimm')",1
"('nichteintretensantrag', 'mind')",1
"('mind', 'mull')",1
"('mull', 'geri')",1
"('geri', 'ab')",1
"('herr', 'jenny')",1
"('jenny', 'beantragt')",1
"('freu', 'tribun')",1
"('tribun', 'delegation')",1
"('delegation', 'litau')",1
"('litau', 'parlament')",1
"('parlament', 'begruss')",1
"('begruss', 'durf')",1
"('durf', 'leitung')",1
"('leitung', 'vorsitz')",1
"('vorsitz', 'seimas')",1
"('seimas', 'herrn')",1
"('herrn', 'arturas')",1
"('arturas', 'paulauskas')",1
"('paulauskas', 'besuch')",1
"('besuch', 'abgeordnet')",1
"('abgeordnet', 'land')",1
"('land', 'treff')",1
"('treff', 'zweitag')",1
"('zweitag', 'aufenthalt')",1
"('aufenthalt', 'zahlreich')",1
"('zahlreich', 'gesprachspartn')",1
"('gesprachspartn', 'zusamm')",1
"('zusamm', 'gesprach')",1
"('gesprach', 'litau')",1
"('litau', 'schweiz')",1
"('schweiz', 'parlamentari')",1
"('parlamentari', 'wertvoll')",1
"('wertvoll', 'gegenseit')",1
"('gegenseit', 'einblick')",1
"('einblick', 'polit')",1
"('polit', 'gemeinwes')",1
"('gemeinwes', 'vermitteln')",1
"('vermitteln', 'bilateral')",1
"('bilateral', 'bezieh')",1
"('bezieh', 'vertief')",1
"('vertief', 'heiss')",1
"('heiss', 'herzlich')",1
"('herzlich', 'willkomm')",1
"('willkomm', 'wunsch')",1
"('wunsch', 'herr')",1
"('herr', 'prasident')",1
"('prasident', 'delegation')",1
"('delegation', 'angenehm')",1
"('angenehm', 'aufenthalt')",1
"('aufenthalt', 'schweiz')",1
"('prasident', 'bundesrat')",1
"('bereit', 'motion')",1
"('beantragt', 'stimm')",1
"('stimm', 'enthalt')",1
"('enthalt', 'motion')",1
"('motion', 'diskussion')",1
"('diskussion', 'rahm')",1
"('rahm', 'behandl')",1
"('behandl', 'vorlag')",1
"('vorlag', 'gefuhrt')",1
"('gefuhrt', 'word')",1
"('interpellant', 'teilweis')",1
"('herr', 'stahelin')",1
"('stahelin', 'beantragt')",1
"('beantragt', 'petition')",1
"('petition', 'kenntnis')",1
"('nehm', 'folg')",1
"('beantragt', 'uberweis')",1
"('uberweis', 'postulat')",1
"('ebenfall', 'motion')",1
"('langenberg', 'antwort')",1
"('langenberg', 'beantragt')",1
"('herr', 'stadl')",1
"('stadl', 'beantragt')",1
"('beantragt', 'empfehl')",1
"('empfehl', 'abzulehn')",1
"('zieh', 'antrag')",1
"('antrag', 'zuruck')",1
"('beantrag', 'diskussion')",1
"('annahm', 'beid')",1
"('mehrheit', 'folg')",1
"('beantragt', 'frist')",1
"('frist', 'sommersession')",1
"('sommersession', 'verlang')",1
"('cvpevpglpfraktion', 'fdpliberal')",1
"('fraktion', 'unterstutz')",1
"('fragestell', 'saal')",1
"('saal', 'frag')",1
"('frag', 'beantwortet')",1
"('fraktion', 'svpfraktion')",1
"('svpfraktion', 'unterstutz')",1
"('mind', 'ablehn')",1
"('ja', 'richtig')",1
"('mehrheit', 'zustimm')",1
"('kommission', 'einverstand')",1
"('restlich', 'frag')",1
"('frag', 'schriftlich')",1
"('schriftlich', 'beantwortet')",1
"('svpfraktion', 'stimmt')",1
"('interpellant', 'saal')",1
"('saal', 'geh')",1
