,Phrase,qui
0,"('nam', 'spfraktion')",0.0001702582744829967
1,"('nam', 'svpfraktion')",0.00015254273809864758
2,"('milliard', 'frank')",7.231671118983218e-05
3,"('muss', 'seh')",5.7598663324907446e-05
4,"('bundesrat', 'merz')",5.3922998542556193e-05
5,"('konsumentinn', 'konsument')",4.9291805625940314e-05
6,"('ganz', 'wichtig')",4.799199072240686e-05
7,"('artikel', 'absatz')",4.5989662446457054e-05
8,"('darum', 'bitt')",4.162356129491376e-05
9,"('daran', 'erinn')",4.037452511673223e-05
10,"('patientinn', 'patient')",3.9728168377982994e-05
11,"('bundesrat', 'bloch')",3.863876476818806e-05
12,"('bitt', 'mehrheit')",3.774085764158111e-05
13,"('frau', 'kollegin')",3.744005769845138e-05
14,"('de', 'la')",3.7181611464917825e-05
15,"('sbb', 'cargo')",3.513169846338896e-05
16,"('herr', 'kaufmann')",3.253266937900607e-05
17,"('svpfraktion', 'bitt')",3.224186237009462e-05
18,"('herr', 'bundesrat')",3.087820091286721e-05
19,"('rentnerinn', 'rentn')",3.05956847000905e-05
20,"('z', 'b')",2.72469260808318e-05
21,"('herr', 'kolleg')",2.627114798297362e-05
22,"('bitt', 'deshalb')",2.608251118743042e-05
23,"('herr', 'zuppig')",2.5067513490404073e-05
24,"('anlegerinn', 'anleg')",2.4840788977140733e-05
25,"('herr', 'weyeneth')",2.300944368404301e-05
26,"('spfraktion', 'antrag')",2.2297576775770347e-05
27,"('kolleg', 'leuenberg')",2.2275928492827673e-05
28,"('mieterinn', 'miet')",2.1916436429934982e-05
29,"('darauf', 'hinweis')",2.1498881028740665e-05
30,"('vorlag', 'einzutret')",2.148222087710187e-05
31,"('richterinn', 'richt')",2.102091184146453e-05
32,"('mehrheit', 'zuzustimm')",2.0679302550044672e-05
33,"('herr', 'schluer')",2.067693255332337e-05
34,"('herr', 'bloch')",2.040889282957445e-05
35,"('svpfraktion', 'antrag')",2.01657161808044e-05
36,"('link', 'seit')",1.9812650963167538e-05
37,"('arme', 'xxi')",1.942745907387483e-05
38,"('herr', 'bind')",1.9180192260189624e-05
39,"('migrantinn', 'migrant')",1.9180192260189624e-05
40,"('fassung', 'bundesrat')",1.914398949932563e-05
41,"('herr', 'visch')",1.8923113738832278e-05
